,MAV,RMS,VAR,WL,ZC,SSC,WAMP,SSI,SD,ASM,ASS,CARD,COV,DAMV,DASDV,DVARV,IQR,KURT,LTKEO,MAD,SKEW,PF,BW,SE,PermEn,SamPen,FuzzyEn,ApEn,AMAX,PMI,HFMI
0,0.000748846,0.001196511,1.45E-06,0.783569737,354.7,370.9,824.9,0.001348512,0.001196511,0.697924701,22.37605731,932,86695.90186,0.000841643,0.001327175,1.78E-06,0.001036899,12.18434976,-7.540910728,0.000748843,0.001010338,172.65625,51.5625,3.66E-10,0.693058453,0.000858369,-0.000115905,0.002118526,0.007650342,0.622263983,0.088611838
1,0.000970524,0.001566419,2.46E-06,0.883043448,305.6,315.1,687,0.001917148,0.001566418,0.756037891,21.26828189,779,-1022.948701,0.001135017,0.001885211,3.56E-06,0.001309696,13.32071997,-6.868208424,0.000970515,1.65E-05,211.71875,35.15625,7.78E-10,0.692948897,0.002565423,0.000959973,0.002683192,0.010149414,0.226046852,0.133873285
2,0.001249675,0.00275779,7.63E-06,1.363006522,379.1,395.3,791,0.007510706,0.00275779,1.230930087,28.74974279,985,-1864.893837,0.001385169,0.002935001,8.64E-06,0.001399307,29.71564948,-5.987604159,0.001249676,-0.000192728,173.046875,19.53125,2.35E-09,0.692977166,0.019483493,0.017839218,0.005184334,0.024443979,0.083881871,0.291747499
3,0.000755564,0.001395136,1.97E-06,0.744629521,337.9,348.7,760.2,0.001735712,0.001395135,0.665651778,20.84916391,881,545.9957781,0.00084617,0.001549767,2.43E-06,0.000969232,27.67697471,-7.294455817,0.000755574,0.000247649,172.265625,38.28125,5.14E-10,0.693088551,0.002264516,0.001156371,0.002606685,0.01204457,0.092350372,0.264810362
4,0.000683864,0.001285035,1.67E-06,0.692724898,348.7,358.8,757.7,0.001482674,0.001285035,0.608639317,19.81746316,890,10502.23526,0.000779218,0.001435727,2.07E-06,0.000832917,22.91648772,-7.418694407,0.000683861,-6.24E-05,188.28125,42.578125,4.42E-10,0.693037725,0.00224568,0.00182111,0.002597033,0.01039629,0.091476923,0.295574533
5,0.0012794,0.002744682,7.56E-06,0.984680308,271.3,282.7,548.8,0.005229777,0.002744681,0.885344818,20.05166184,692,-2952.229425,0.001425008,0.00295234,8.74E-06,0.001272872,20.26597939,-6.295618377,0.001279391,0.000649997,162.109375,14.453125,3.16E-09,0.692846996,0.01604058,0.014797419,0.005854174,0.020422675,0.079036385,0.302926803
6,0.001641971,0.003625851,1.32E-05,1.652816558,345.3,357.3,752.2,0.01200474,0.003625851,1.492552071,30.9359159,909,-8646.972001,0.001820283,0.003931949,1.55E-05,0.001983207,35.59353621,-5.452426317,0.001641984,-0.00046054,173.4375,27.34375,2.95E-09,0.693031211,0.023882938,0.022191977,0.006122836,0.032152159,0.064429383,0.276038373
7,0.000987929,0.001488151,2.23E-06,0.601558087,204.2,216.9,499.4,0.001262302,0.00148815,0.558179614,15.67500409,565,-942.285521,0.001066592,0.001597729,2.58E-06,0.00135043,6.105490254,-7.718101677,0.000987914,0.001920104,151.5625,23.046875,6.12E-10,0.692910714,0.000707965,-0.000979386,0.002971852,0.007305582,0.422061123,0.12500774
8,0.000999314,0.00223651,5.01E-06,0.986743008,330.8,343.8,669,0.004202154,0.00223651,0.837425024,21.81569909,838,808.6053346,0.001178904,0.002674065,7.17E-06,0.001102039,33.96062709,-6.114211594,0.000999316,0.000286927,215.625,42.1875,1.33E-09,0.692962596,0.012565782,0.011077787,0.004604463,0.018999278,0.062906563,0.314631655
9,0.00090983,0.001850812,3.53E-06,0.761363013,295.1,305.1,639.1,0.002694427,0.001850812,0.695110062,19.282548,764,1477.372018,0.000997855,0.001910862,3.78E-06,0.001049701,23.22256242,-7.193069634,0.000909838,0.000130113,164.453125,18.359375,1.37E-09,0.693083794,0.004696402,0.003736735,0.003630542,0.013887452,0.070476497,0.299038227
10,0.001458945,0.00409837,1.72E-05,1.48040999,338,353.3,616.9,0.015224794,0.00409837,1.29116631,26.20146613,885,1732.85031,0.001674672,0.004857381,2.42E-05,0.001283658,52.22178162,-4.898015928,0.001458947,0.000241614,206.25,61.328125,4.42E-09,0.693083962,0.09017403,0.088340692,0.010743664,0.043691865,0.040915259,0.664988572
11,0.000847649,0.001800013,3.27E-06,1.001049089,393.1,410.1,855.8,0.003409075,0.001800012,0.88240251,25.38902973,1041,-586.3600646,0.000962547,0.002061681,4.30E-06,0.000986727,31.68856013,-6.508777246,0.000847638,0.000669265,187.5,16.796875,1.11E-09,0.69304695,0.007831822,0.006698307,0.003413116,0.015339737,0.224185865,0.163517632
12,0.000945673,0.001515319,2.30E-06,1.095969583,382.4,404.3,932.8,0.002414938,0.001515318,0.992957093,28.57150935,1050,853.6563922,0.001044776,0.001721364,2.97E-06,0.00134593,15.19486479,-6.852612781,0.000945658,-0.000871808,187.5,39.0625,7.50E-10,0.693051845,0.001903676,0.000992241,0.002212681,0.01099284,0.47272085,0.075053305
13,0.001728586,0.003867838,1.51E-05,1.990520605,391.4,406.2,817.9,0.01511373,0.003867837,1.735500078,34.86834864,1004,10277.7261,0.001984567,0.00447034,2.01E-05,0.002007737,51.98020031,-4.944089696,0.001728587,-6.07E-05,193.359375,68.75,5.36E-09,0.692964949,0.034810657,0.033231876,0.006533118,0.043421631,0.060446672,0.546294621
14,0.001109957,0.00165986,2.78E-06,1.268529761,380.6,401.7,924.9,0.002849789,0.001659859,1.136596454,30.62240438,1024,8566.786636,0.00124001,0.001871887,3.55E-06,0.00169535,18.98331334,-6.717451256,0.001109925,0.000370717,162.109375,64.0625,8.41E-10,0.693075988,0.003510305,0.001745309,0.002188393,0.013972788,0.132145019,0.162487195
15,0.000924476,0.001416469,2.02E-06,1.05220673,378.5,399.9,917,0.002079607,0.001416469,0.950361082,27.94033976,1028,1238.515268,0.001024544,0.001584816,2.54E-06,0.001379745,20.41618469,-7.055781558,0.000924474,0.000189456,166.015625,60.546875,6.19E-10,0.693055677,0.001360736,0.000405679,0.002072154,0.011795067,0.134024879,0.171513154
16,0.001411104,0.002052181,4.25E-06,0.995267624,237.4,246.7,571.4,0.00270471,0.002052176,0.897462189,21.29257353,636,-345.4010179,0.001567351,0.002272742,5.22E-06,0.002029249,6.067630915,-6.853741473,0.001411115,-0.000252925,173.828125,46.09375,1.56E-09,0.693032844,0.002513754,0.000706265,0.003131831,0.011145333,0.24728447,0.126901697
17,0.00122323,0.001916976,3.70E-06,1.245667781,351.3,359.9,796.1,0.003315738,0.001916975,1.096013996,27.56762734,896,20028.27776,0.001391808,0.002123011,4.55E-06,0.001719673,12.54862816,-6.645735614,0.001223238,-5.61E-06,167.96875,39.453125,8.75E-10,0.692852376,0.003564978,0.001777678,0.002738656,0.013490548,0.172511542,0.202845726
18,0.000711704,0.001454938,2.15E-06,0.70380294,340.9,352.3,740.4,0.001895931,0.001454938,0.627722927,19.90682205,882,-7500.962881,0.000798868,0.001599967,2.59E-06,0.000870863,40.64345419,-7.249629868,0.0007117,-0.000218744,169.53125,29.6875,5.85E-10,0.692997579,0.001585766,0.000974367,0.002932235,0.013594167,0.094071481,0.378284749
19,0.001465614,0.002527183,6.40E-06,1.247603637,260.8,274.3,719.7,0.005223789,0.002527179,1.195940762,27.71489508,816,-12933.33851,0.001530802,0.002915095,8.51E-06,0.002195276,25.07527808,-5.998638138,0.001465615,-0.001504574,176.953125,80.46875,2.05E-09,0.693026578,0.005850944,0.004436973,0.003655174,0.021528493,0.092291502,0.30527989
20,0.001188383,0.002628311,6.92E-06,1.169311462,299.1,322.3,750.3,0.006351115,0.00262831,1.090935333,26.9229619,918,-1097.181967,0.001275149,0.00308418,9.53E-06,0.00154525,47.19402042,-5.760343331,0.001188384,5.12E-05,181.25,78.90625,1.51E-09,0.692974845,0.010832342,0.010474789,0.004645897,0.026600163,0.06737331,0.437477082
21,0.000911538,0.002445061,5.99E-06,0.927910002,326.6,342.3,650,0.005279662,0.00244506,0.803976823,21.29836192,882,1717.28762,0.001053246,0.002920001,8.54E-06,0.00093529,48.15261173,-5.893621984,0.000911541,-4.99E-05,211.328125,24.609375,1.51E-09,0.692962019,0.028584901,0.024988117,0.005896132,0.024092402,0.041211135,0.482303913
22,0.000935512,0.001392753,1.94E-06,0.935900709,338.3,349,781.9,0.001681105,0.001392751,0.809217529,23.75090987,865,-944.6017369,0.001083218,0.001605878,2.59E-06,0.001412439,15.39195465,-7.151481069,0.000935515,0.00261986,186.71875,71.484375,5.19E-10,0.693041344,0.000693109,-0.000358992,0.00218475,0.011197729,0.243549982,0.179293023
23,0.00125117,0.001863869,3.48E-06,1.226818603,332.6,342.9,775.6,0.002978994,0.001863865,1.07100155,27.11744479,856,-90.5061541,0.001434876,0.002127082,4.53E-06,0.001881598,14.57445658,-6.625754065,0.001251142,-0.003655121,185.9375,66.015625,8.90E-10,0.693075361,0.001634426,0.000623911,0.002526392,0.014133142,0.256544574,0.133106578
24,0.000809597,0.00145934,2.13E-06,0.829329907,341.2,356.3,780.5,0.001898371,0.001459339,0.720541295,22.15558788,890,-24.83714997,0.00093288,0.001690824,2.86E-06,0.001111974,37.15674931,-7.01832951,0.000809596,9.82E-05,189.0625,72.65625,5.46E-10,0.692996715,0.00179725,0.000702416,0.002551552,0.013992103,0.183599197,0.201075965
25,0.000998703,0.001642777,2.71E-06,1.015402672,345.8,359.5,788.3,0.002391665,0.001642776,0.882853483,24.76077922,884,-407.7363118,0.001149946,0.001871459,3.51E-06,0.001443224,27.39602182,-6.856395795,0.0009987,-0.001063537,193.75,58.59375,6.87E-10,0.693038285,0.000904978,5.81E-05,0.002503968,0.014628384,0.192763302,0.174334629
26,0.001579863,0.002255458,5.17E-06,1.693054156,361.1,374.9,852.2,0.004804365,0.002255456,1.469272573,33.19341361,930,536.1980384,0.001822448,0.002584826,6.79E-06,0.002439149,11.39403445,-6.155089973,0.001579864,0.000527717,178.515625,66.015625,1.28E-09,0.692977873,0.002148694,0.000741853,0.002650153,0.015899667,0.253078392,0.100238816
27,0.003638196,0.012254635,0.000308711,2.730128454,251.6,263.1,408.6,0.197883644,0.012254633,2.332083633,25.81807493,641,-913.4113367,0.004265826,0.014435813,0.000429714,0.002114894,35.46001782,-4.389224335,0.003638156,9.39E-05,194.921875,76.953125,7.76E-08,0.693060747,0.223927202,0.202789565,0.198838103,0.111711686,0.126914573,0.686134941
28,0.000909345,0.001590092,2.54E-06,1.023259447,385.5,398.8,863.6,0.002483225,0.001590092,0.890249152,25.88325693,979,-7582.240179,0.001046278,0.001811326,3.30E-06,0.001260804,34.02785489,-6.821504742,0.000909351,0.000115002,188.28125,50.390625,7.13E-10,0.69313108,0.003465868,0.0024044,0.002483665,0.014955492,0.154328069,0.310619709
29,0.001296153,0.004084025,1.68E-05,1.178858402,318.6,330.3,528.2,0.014100295,0.004084024,1.087472179,22.74196443,839,4073.988496,0.001406752,0.004357373,1.91E-05,0.00108004,57.70519012,-5.369629406,0.001296151,-0.0006815,167.578125,28.515625,4.31E-09,0.6930304,0.139839545,0.134908165,0.013399707,0.042133724,0.027857381,0.760956298
30,0.002693954,0.003459501,1.21E-05,2.158636252,270.6,280.9,652.3,0.008489018,0.003459496,1.896543652,33.37967474,704,316.7525475,0.003070606,0.003919468,1.55E-05,0.004430956,0.666742804,-5.617940739,0.002693933,-2.72E-05,174.609375,48.046875,3.32E-09,0.69296727,0.00368836,0.002083181,0.003429649,0.012570532,0.589461677,0.085889305
31,0.00125541,0.002383104,5.72E-06,1.311485782,355.6,372,821.7,0.00547124,0.002383103,1.200172309,29.24016616,956,-17637.99671,0.001373284,0.002577726,6.69E-06,0.001638685,36.40635729,-6.220925661,0.001255419,0.000387027,158.203125,32.8125,1.68E-09,0.693058909,0.006046513,0.004776482,0.003563706,0.022574718,0.098893082,0.246243029
32,0.001100113,0.001583866,2.75E-06,1.101454226,339.2,349.1,781.8,0.002372458,0.001583864,0.950497961,25.26327848,864,1326.703576,0.001276308,0.00182638,3.66E-06,0.001649154,8.657683685,-7.010805885,0.001100103,0.003438749,192.1875,49.21875,6.74E-10,0.693064864,0.001156873,0.00038594,0.002334169,0.009114479,0.163188928,0.087254178
33,0.000703684,0.001194912,1.49E-06,0.755044644,371.6,382,849.7,0.001428689,0.001194911,0.674129346,22.20904728,958,-1965.422717,0.00078897,0.00130006,1.75E-06,0.000978999,22.07046534,-7.608635807,0.000703683,0.000304095,169.53125,38.671875,3.92E-10,0.692976284,0.000626305,-0.000254901,0.002115599,0.009713296,0.11957236,0.234342006
34,0.001450636,0.002221267,4.96E-06,1.016031025,236.9,245.5,536.5,0.002983022,0.002221265,0.871832119,20.22326021,601,-4509.462498,0.001693385,0.002586521,6.74E-06,0.00207836,9.584557956,-6.54207427,0.001450661,0.00100298,180.46875,60.15625,1.56E-09,0.693060509,0.001994467,-0.000167749,0.003517685,0.013767667,0.302917374,0.172342049
